Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0603_1608Metric",149.600000,-103.400000,180.000000,top
"C2","10u","C_0603_1608Metric",143.300000,-106.000000,180.000000,top
"C3","100n","C_0402_1005Metric",147.400000,-101.600000,270.000000,top
"C4","100n","C_0402_1005Metric",143.260000,-103.980000,270.000000,top
"C5","100n","C_0402_1005Metric",139.100000,-100.800000,270.000000,top
"C6","100n","C_0402_1005Metric",139.100000,-96.910000,90.000000,top
"C7","100n","C_0402_1005Metric",142.600000,-94.200000,90.000000,top
"C8","100n","C_0402_1005Metric",146.700000,-95.210000,0.000000,top
"C9","10u","C_0603_1608Metric",137.800000,-101.000000,270.000000,top
"C10","220n","C_0402_1005Metric",141.630000,-108.460000,270.000000,top
"C11","100n","C_0402_1005Metric",148.460000,-97.010000,90.000000,top
"C12","100n","C_0402_1005Metric",139.100000,-98.910000,90.000000,top
"C13","6p8","C_0402_1005Metric",150.000000,-96.500000,180.000000,top
"C14","6p8","C_0402_1005Metric",152.400000,-95.000000,180.000000,top
"C15","100n","C_0402_1005Metric",146.400000,-92.300000,0.000000,top
"C16","10u","C_0603_1608Metric",146.700000,-93.600000,0.000000,top
"C17","1uF","C_0402_1005Metric",149.800000,-87.900000,0.000000,top
"C18","1uF","C_0402_1005Metric",152.800000,-85.900000,180.000000,top
"C19","10u","C_0603_1608Metric",117.285000,-111.600000,0.000000,top
"C20","100n","C_0402_1005Metric",115.290000,-111.670000,270.000000,top
"C21","100n","C_0402_1005Metric",133.200000,-105.700000,90.000000,top
"C22","100n","C_0402_1005Metric",133.200000,-103.200000,270.000000,top
"C23","100n","C_0402_1005Metric",133.200000,-100.700000,90.000000,top
"C24","100n","C_0402_1005Metric",133.200000,-98.200000,270.000000,top
"D1","PWR_LED","LED_0603_1608Metric",142.750000,-111.070000,180.000000,top
"D2","SK6805","LED_SK6805_E14_1.4x1.4mm_P0.4mm",131.700000,-105.700000,180.000000,top
"D3","SK6805","LED_SK6805_E14_1.4x1.4mm_P0.4mm",131.700000,-103.200000,270.000000,top
"D4","SK6805","LED_SK6805_E14_1.4x1.4mm_P0.4mm",131.700000,-100.700000,180.000000,top
"D5","SK6805","LED_SK6805_E14_1.4x1.4mm_P0.4mm",131.700000,-98.200000,270.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",158.400000,-98.200000,90.000000,top
"Q1","S8050","SOT-23",137.300000,-108.700000,180.000000,top
"Q2","S8050","SOT-23",138.500000,-88.400000,0.000000,top
"R1","5K1","R_0402_1005Metric",158.000000,-92.300000,0.000000,top
"R2","5K1","R_0402_1005Metric",158.000000,-104.100000,0.000000,top
"R3","1K","R_0402_1005Metric",140.250000,-111.070000,0.000000,top
"R4","100K","R_0402_1005Metric",143.800000,-108.480000,270.000000,top
"R5","100K","R_0402_1005Metric",142.700000,-108.480000,270.000000,top
"R6","100K","R_0402_1005Metric",140.520000,-108.460000,90.000000,top
"R7","12K,1%","R_0402_1005Metric",147.460000,-97.010000,90.000000,top
"R8","10K","R_0402_1005Metric",141.560000,-94.210000,90.000000,top
"R9","10K","R_0402_1005Metric",140.460000,-94.210000,90.000000,top
"R10","10K","R_0402_1005Metric",139.260000,-94.210000,90.000000,top
"R11","10K","R_0402_1005Metric",138.060000,-94.210000,90.000000,top
"R12","100K","R_0402_1005Metric",139.110000,-104.930000,90.000000,top
"R13","100K","R_0402_1005Metric",140.210000,-104.930000,90.000000,top
"R14","100K","R_0402_1005Metric",136.910000,-104.930000,90.000000,top
"R15","100K","R_0402_1005Metric",138.010000,-104.930000,90.000000,top
"R16","1K","R_0402_1005Metric",149.800000,-86.800000,180.000000,top
"R17","24K","R_0402_1005Metric",149.800000,-90.100000,0.000000,top
"R18","47K","R_0402_1005Metric",149.800000,-89.000000,0.000000,top
"R19","10K","R_0402_1005Metric",152.800000,-87.000000,0.000000,top
"R20","10K","R_0402_1005Metric",133.310000,-85.300000,180.000000,top
"R21","10K","R_0402_1005Metric",130.700000,-109.800000,0.000000,top
"R22","10K","R_0402_1005Metric",139.500000,-90.900000,180.000000,top
"R23","10K","R_0402_1005Metric",135.000000,-108.300000,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",149.300000,-107.820000,0.000000,top
"U2","SRV05-4","SOT-23-6",151.000000,-100.180000,0.000000,top
"U3","USB2514B_Bi","QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm",143.260000,-99.410000,180.000000,top
"U4","CP2102N-A01-GQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",144.500000,-88.600000,0.000000,top
"Y1","24MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",150.000000,-94.500000,0.000000,top
